route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
109110,20180401_weekday,weekday_109110_3,,,0,,,0,0,,,
109110,20180401_weekday,weekday_109110_4,,,0,,,0,0,,,
109200,20180401_weekday,weekday_109200_0,,,1,,,0,0,,,
109200,20180401_weekday,weekday_109200_1,,,1,,,0,0,,,
109200,20180401_weekday,weekday_109200_2,,,1,,,0,0,,,
109200,20180401_weekday,weekday_109200_3,,,1,,,0,0,,,
109200,20180401_weekday,weekday_109200_4,,,1,,,0,0,,,
109200,20180401_weekday,weekday_109200_5,,,1,,,0,0,,,
109210,20180401_weekday,weekday_109210_0,,,0,,,0,0,,,
109210,20180401_weekday,weekday_109210_1,,,0,,,0,0,,,
109210,20180401_weekday,weekday_109210_2,,,0,,,0,0,,,
109210,20180401_weekday,weekday_109210_3,,,0,,,0,0,,,
109210,20180401_weekday,weekday_109210_4,,,0,,,0,0,,,
109220,20180401_weekday,weekday_109220_0,,,0,,,0,0,,,
110100,20180401_weekday,weekday_110100_0,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_1,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_2,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_3,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_4,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_5,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_6,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_7,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_8,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_9,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_10,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_11,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_12,,,1,,,0,0,,,
110100,20180401_weekday,weekday_110100_13,,,1,,,0,0,,,
110110,20180401_weekday,weekday_110110_0,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_1,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_2,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_3,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_4,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_5,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_6,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_7,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_8,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_9,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_10,,,0,,,0,0,,,
110110,20180401_weekday,weekday_110110_11,,,0,,,0,0,,,
110200,20180401_weekday,weekday_110200_0,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_1,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_2,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_3,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_4,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_5,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_6,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_7,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_8,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_9,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_10,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_11,,,1,,,0,0,,,
110200,20180401_weekday,weekday_110200_12,,,1,,,0,0,,,
110210,20180401_weekday,weekday_110210_0,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_1,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_2,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_3,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_4,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_5,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_6,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_7,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_8,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_9,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_10,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_11,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_12,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_13,,,0,,,0,0,,,
110210,20180401_weekday,weekday_110210_14,,,0,,,0,0,,,
110300,20180401_weekday,weekday_110300_0,,,1,,,0,0,,,
110300,20180401_weekday,weekday_110300_1,,,1,,,0,0,,,
110300,20180401_weekday,weekday_110300_2,,,1,,,0,0,,,
110310,20180401_weekday,weekday_110310_0,,,0,,,0,0,,,
110310,20180401_weekday,weekday_110310_1,,,0,,,0,0,,,
110310,20180401_weekday,weekday_110310_2,,,0,,,0,0,,,
112110,20180401_weekday,weekday_112110_0,,,0,,,0,0,,,
113700,20180401_weekday,weekday_113700_0,,,1,,,0,0,,,
113700,20180401_weekday,weekday_113700_1,,,1,,,0,0,,,
113700,20180401_weekday,weekday_113700_2,,,1,,,0,0,,,
113710,20180401_weekday,weekday_113710_0,,,0,,,0,0,,,
113710,20180401_weekday,weekday_113710_1,,,0,,,0,0,,,
113710,20180401_weekday,weekday_113710_2,,,0,,,0,0,,,
113710,20180401_weekday,weekday_113710_3,,,0,,,0,0,,,
113710,20180401_weekday,weekday_113710_4,,,0,,,0,0,,,
119010,20180401_weekday,weekday_119010_0,,,0,,,0,0,,,
119010,20180401_weekday,weekday_119010_1,,,0,,,0,0,,,
120000,20180401_weekday,weekday_120000_0,,,1,,,0,0,,,
120000,20180401_weekday,weekday_120000_1,,,1,,,0,0,,,
120200,20180401_weekday,weekday_120200_0,,,1,,,0,0,,,
